cell_type,peak_length,species
BC1,23.0,human
BC3,24.0,human
BCBL,27.0,human
DG75,24.0,human
HEK293,23.0,human
HeLa,21.0,human
A2780,20.0,human
MCF7,23.0,human
hESC,22.0,human
A673,20.0,human
22RV1,45.0,human
HCT116,81.0,human
Huh7,75.0,human
A549,49.0,human
K562,56.0,human
HEK293T,64.0,human
Mouse_ESC,21.0,mouse
Mouse_myotubes,21.0,mouse
Mouse_BMDM,22.0,mouse
Mouse_retina,51.0,mouse
Mouse_brain,57.0,mouse
Mouse_iNeuron,41.0,mouse
Mouse_liver,48.0,mouse
deg_A549,50.0,human
deg_HepG2,50.0,human
deg_iNeuron_glutamatergic,50.0,human
deg_K562,50.0,human
deg_PHH,50.0,human
deg_Yecuris_liver,50.0,human
deg_Mouse_cortex,50.0,mouse
deg_Mouse_liver,50.0,mouse
deg_Mouse_cns_e18_day4,50.0,mouse
deg_Mouse_cns_e18_day11,50.0,mouse
